,city,country,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,date
137,santa,pe,17.49,120.43,78.13,88.0,100,3.65,1596917654
138,la colorada,pa,8.02,-80.98,85.24,74.0,100,4.72,1596917654
139,katsina,ng,12.99,7.6,76.84,76.0,64,9.95,1596917655
140,korcula,hr,42.96,17.14,84.2,37.0,0,4.7,1596917655
141,fairview,ca,40.81,-74,87.01,61.0,1,3.36,1596917655
142,guerrero negro,mx,27.98,-114.06,82.45,41.0,0,14.85,1596917655
143,kampene,cd,-3.6,26.67,73.83,70.0,89,1.25,1596917655
144,zanzibar,tz,-6.16,39.2,75.2,78.0,20,14.99,1596917655
145,vysokogornyy,ru,50.12,139.15,47.1,87.0,0,1.14,1596917655
146,paris,us,48.85,2.35,91,35.0,4,9.17,1596917415
147,broome,au,42.25,-75.83,84,61.0,20,3.36,1596917655
148,izhmorskiy,ru,56.19,86.64,58.89,80.0,1,3.42,1596917655
149,aguimes,es,27.91,-15.45,75.2,64.0,20,28.86,1596917205
150,nikolayevsk-na-amure,ru,53.14,140.73,53.28,73.0,2,3.56,1596917656
151,calmar,ca,53.27,-113.82,60.8,59.0,75,18.34,1596917656
152,benicarlo,es,40.42,0.43,79,63.0,49,5.01,1596917656
153,longyan,cn,25.11,117.02,74.07,83.0,85,1.83,1596917656
154,qinzhou,cn,21.95,108.62,80.73,82.0,100,4.72,1596917656
155,goulburn,au,-34.75,149.72,42.01,97.0,100,12.66,1596917656
156,nanyamba,tz,-10.68,39.83,69.8,88.0,20,10.29,1596917656
157,bay city,us,43.59,-83.89,82.99,34.0,1,13.87,1596917656
158,rantepao,id,-2.97,119.9,67.08,90.0,74,1.16,1596917656
159,dourbali,td,11.81,15.86,77.94,79.0,100,8.43,1596917228
160,odienne,ci,9.51,-7.57,71.83,94.0,82,4.56,1596917223
161,lincoln,nz,40.8,-96.67,88,66.0,90,16.11,1596917431
162,tomatlan,mx,19.93,-105.25,91.44,63.0,48,8.16,1596917656
163,hualmay,pe,-11.1,-77.61,66.4,65.0,10,9.51,1596917656
164,bouafle,ci,6.99,-5.74,75.2,94.0,75,4.7,1596917657
165,camaragibe,br,-8.02,-34.98,78.8,74.0,40,13.87,1596917581
166,joshimath,in,30.57,79.57,70.65,61.0,100,0.13,1596917657
167,owensboro,us,37.77,-87.11,87.01,54.0,1,4.7,1596917341
168,sagua la grande,cu,22.81,-80.08,89.6,59.0,40,13.87,1596917657
169,manali,in,13.17,80.27,77,100.0,90,11.41,1596917657
170,oyo,ng,7.85,3.93,71.46,85.0,13,4.36,1596917657
171,alcamo,it,38,12.96,80.6,78.0,20,4.7,1596917657
172,dergachi,ru,51.23,48.77,65.73,66.0,100,13.98,1596917657
173,biltine,td,14.53,20.92,75.7,87.0,100,2.68,1596917657
174,quebo,gw,11.33,-14.93,75.9,94.0,86,6.2,1596917657
175,perth,au,-31.93,115.83,64.99,39.0,100,19.46,1596917509
176,forio,it,40.73,13.86,80.01,81.0,37,4,1596917658
177,samagaltay,ru,50.6,95,48.7,81.0,2,7.61,1596917658
178,makarov,ru,48.63,142.8,53.2,78.0,40,4.32,1596917658
179,gazli,uz,40.13,63.45,75.88,37.0,0,5.1,1596917658
180,sergiyevsk,ru,53.94,51.16,59.81,80.0,100,9.24,1596917658
181,gonda,in,27.13,81.93,84.52,78.0,94,6.33,1596917539
182,butaritari,ki,3.07,172.79,83.12,79.0,36,17.49,1596917658
183,carmen,cr,18.63,-91.83,87.8,66.0,75,9.17,1596917451
184,creston,ca,41.06,-94.36,86,70.0,40,12.75,1596917658
185,katra,in,32.98,74.95,89.6,84.0,75,2.24,1596917658
186,teruel,es,40.67,-0.67,77,73.0,100,8.05,1596917658
187,ornes,no,66.87,13.71,59,93.0,75,21.92,1596917658
188,lorengau,pg,-2.02,147.27,79.25,81.0,100,6.26,1596917659
189,powell,us,40.16,-83.08,87.01,42.0,40,8.05,1596917458
190,stellenbosch,za,-33.93,18.87,55.4,87.0,90,24.16,1596917659
191,mananjary,mg,-21.22,48.33,64.53,79.0,95,8.25,1596917659
192,beruwala,lk,6.48,79.98,78.64,88.0,100,6.93,1596917659
193,quepos,cr,9.42,-84.17,78.8,73.0,75,23.04,1596917659
194,istisu,az,40.95,48.07,75.2,50.0,40,6.93,1596917659
195,gorele,tr,41.03,39,78.8,78.0,75,3.29,1596917659
196,ennis,ie,52.84,-8.99,66.2,68.0,20,8.05,1596917659
197,najran,sa,17.49,44.13,86,40.0,40,13.87,1596917659
198,qurayyat,om,31.33,37.34,86,33.0,0,27.51,1596917371
199,la rosa,hn,15.35,-87.07,89.6,62.0,75,9.17,1596917660
200,tumut,au,-35.3,148.22,45.73,91.0,100,2.17,1596917660
201,molchanovo,ru,57.58,83.77,59.49,77.0,0,3.47,1596917468
202,tranas,se,58.04,14.98,71.6,64.0,10,2.24,1596917660
203,kahului,us,20.89,-156.47,87.8,52.0,40,18.34,1596917660
204,aberdeen,us,57.14,-2.1,57,76.0,11,8.05,1596917660
205,haverhill,us,42.78,-71.08,86,48.0,1,4.7,1596917478
206,vista hermosa,co,19.52,-99.22,73.4,40.0,90,8.66,1596917660
207,letlhakane,bw,-21.42,25.58,58.5,52.0,0,10.96,1596917660
208,tra vinh,vn,9.93,106.35,75.99,94.0,100,4.79,1596917660
209,new haven,us,41.31,-72.93,84.99,69.0,1,9.17,1596917507
210,beboto,td,8.27,16.94,73.11,92.0,100,2.33,1596917660
211,langham,ca,52.37,-106.97,75,35.0,20,20.8,1596917661
212,betanzos,bo,43.28,-8.21,71.6,78.0,0,5.82,1596917661
213,santa marinella,it,42.03,11.85,75,56.0,0,11.95,1596917661
214,wad rawah,sd,15.16,33.14,82.42,63.0,55,11.79,1596917661
215,bhaderwah,in,32.98,75.72,71.08,76.0,63,0.67,1596917661
216,angul,in,20.85,85.1,80.02,86.0,100,3.09,1596917661
217,tashla,ru,51.77,52.74,62.55,74.0,97,10.49,1596917215
218,kurara,in,25.98,79.98,89.15,66.0,18,5.95,1596917661
219,la palma,pa,33.85,-118.05,87.01,51.0,1,8.05,1596917661
220,san luis,ar,-33.3,-66.34,67.23,31.0,100,9.28,1596917661
221,layton,us,41.06,-111.97,91.4,9.0,1,10.29,1596917544
222,saint anthony,ca,45.02,-93.22,84.2,69.0,90,8.05,1596917661
223,petauke,zm,-14.24,31.33,58.59,68.0,0,11.12,1596917661
224,dinguiraye,gn,11.3,-10.72,72.97,92.0,70,1.34,1596917662
225,lasa,cn,46.62,10.7,64.4,68.0,20,2.24,1596917662
226,rochefort,fr,45.92,-1,75.99,88.0,0,5.82,1596917218
227,bocas del toro,pa,9.33,-82.25,75.99,53.0,24,7,1596917662
228,bogorodskoye,ru,56.55,37.88,58.95,93.0,87,3.67,1596917662
229,bako,et,5.78,36.57,63.5,89.0,100,2.57,1596917456
230,monclova,mx,26.9,-101.42,96.01,29.0,75,4.7,1596917662
231,ebolowa,cm,2.9,11.15,67.42,95.0,93,3.27,1596917662
232,bokoro,td,12.38,17.06,79.14,75.0,100,8.72,1596917662
233,parainen,fi,60.31,22.3,66,68.0,0,3.36,1596917662
234,tobolsk,ru,58.2,68.27,67.28,76.0,99,7.2,1596917662
235,petrovskoye,ru,57.01,39.27,58.24,91.0,0,5.95,1596917662
236,cubara,co,7,-72.11,80.04,80.0,100,0.92,1596917662
237,tecoanapa,mx,16.52,-98.75,86.29,68.0,74,11.97,1596917662
238,narrabri,au,-30.32,149.78,46.4,87.0,90,5.82,1596917663
239,wanxian,cn,30.8,108.39,80.2,81.0,98,1.77,1596917663
240,dogondoutchi,ne,13.64,4.03,83.77,63.0,47,9.57,1596917663
241,abu kamal,sy,34.45,40.92,90.97,15.0,0,17.67,1596917663
242,guerande,fr,47.33,-2.43,80.6,57.0,0,6.93,1596917663
243,obsharovka,ru,53.12,48.85,60.96,76.0,80,9.1,1596917663
244,mochicahui,mx,25.93,-108.93,102,49.0,5,18.34,1596917663
245,maxixe,mz,-23.86,35.35,57.2,87.0,0,6.96,1596917663
246,montes altos,br,-5.83,-47.07,96.8,28.0,0,5.82,1596917663
247,kuito,ao,-12.38,16.93,60.22,32.0,0,1.7,1596917663
248,xunchang,cn,28.45,104.72,74.97,85.0,96,2.68,1596917663
249,puri,in,19.8,85.85,80.6,94.0,75,5.82,1596917584
250,oleksandrivka,ua,48.96,32.23,68.68,63.0,43,8.46,1596917663
251,ozernovskiy,ru,51.5,156.52,52.48,94.0,100,8.99,1596917664
252,hanover,us,52.37,9.73,82.4,45.0,32,9.17,1596917664
253,brokopondo,sr,4.75,-55.17,83.79,78.0,65,3.96,1596917664
254,mallaig,gb,54.22,-111.37,65.1,55.0,19,15.64,1596917664
255,merritt,ca,50.11,-120.79,73.4,38.0,1,14.99,1596917664
256,deulgaon raja,in,20.02,76.03,74.62,86.0,99,8.46,1596917664
257,hope mills,us,34.97,-78.95,91.99,62.0,75,8.05,1596917423
258,lugazi,ug,0.38,32.92,68,94.0,20,2.24,1596917217
259,svolvaer,no,68.23,14.57,62.01,86.0,100,13,1596917451
260,olga,ru,43.74,135.29,62.53,94.0,100,3.4,1596917664
261,tagab,af,34.85,69.65,84.2,30.0,20,1.66,1596917664
262,andros,gr,37.83,24.93,78.01,71.0,0,4,1596917664
263,dzialdowo,pl,53.24,20.17,69.8,77.0,6,1.12,1596917465
264,jadu,ly,31.95,12.03,68.02,75.0,0,7.85,1596917665
265,lluta,pe,-16.01,-72.01,68,8.0,0,10.29,1596917665
266,kannauj,in,27.05,79.92,89.04,58.0,100,5.59,1596917665
267,bafia,cm,4.75,11.23,68.88,96.0,99,3.91,1596917665
268,manzil salim,tn,35.86,8.48,78.8,36.0,20,11.41,1596917665
269,east stroudsburg,us,41,-75.18,82.99,48.0,41,1.01,1596917278
270,amilly,fr,47.97,2.77,87.01,36.0,0,2.68,1596917665
271,barreirinhas,br,-2.75,-42.83,82.04,59.0,0,6.89,1596917665
272,pentecoste,br,-3.79,-39.27,79,73.0,0,17,1596917665
273,zhumadian,cn,32.98,114.03,74.05,94.0,0,2.91,1596917665
274,marawi,sd,8,124.29,73.99,92.0,97,5.99,1596917665
275,belomorsk,ru,64.52,34.77,54.03,79.0,70,3.51,1596917665
276,muriti,tz,-1.98,32.92,73.4,73.0,20,5.82,1596917666
277,bria,cf,6.54,21.99,70.68,94.0,100,4.16,1596917666
278,wala,pa,4.58,12.32,69.67,92.0,95,4.36,1596917666
279,sagna,ro,46.98,27.02,80.6,32.0,0,11.41,1596917666
280,vodnyy,ru,63.5,53.41,52.18,90.0,85,2.64,1596917666
281,vera cruz,br,-12.63,-41.03,71.83,63.0,43,5.64,1596917596
282,petropavlovka,ru,50.61,105.32,56.53,87.0,100,5.3,1596917666
283,afrikanda,ru,67.44,32.78,59.13,71.0,99,5.46,1596917666
284,joao pinheiro,br,-17.74,-46.17,77.36,30.0,0,6.51,1596917666
285,masterton,nz,-40.96,175.66,44.01,91.0,8,1.99,1596917372
286,voyinka,ua,45.87,33.99,76.77,58.0,1,7.45,1596917666
